	City	Borough	Neighbourhood	Latitude	Longitude
49	Toronto	North York	North Park / Maple Leaf Park / Upwood Park	43.713756200000006	-79.4900738
50	Toronto	North York	Humber Summit	43.7563033	-79.56596329999999
51	Toronto	Scarborough	Cliffside / Cliffcrest / Scarborough Village West	43.716316	-79.23947609999999
52	Toronto	North York	Willowdale / Newtonbrook	43.789053	-79.40849279999999
53	Toronto	North York	Downsview	43.7284964	-79.49569740000001
54	Toronto	East Toronto	Studio District	43.6595255	-79.340923
55	Toronto	North York	Bedford Park / Lawrence Manor East	43.7332825	-79.4197497
56	Toronto	York	Del Ray / Mount Dennis / Keelsdale and Silverthorn	43.6911158	-79.47601329999999
57	Toronto	North York	Humberlea / Emery	43.7247659	-79.53224240000002
58	Toronto	Scarborough	Birch Cliff / Cliffside West	43.692657000000004	-79.2648481
59	Toronto	North York	Willowdale	43.7701199	-79.40849279999999
60	Toronto	North York	Downsview	43.7616313	-79.52099940000001
61	Toronto	Central Toronto	Lawrence Park	43.7280205	-79.3887901
62	Toronto	Central Toronto	Roselawn	43.7116948	-79.41693559999999
63	Toronto	York	Runnymede / The Junction North	43.67318529999999	-79.48726190000001
64	Toronto	York	Weston	43.706876	-79.51818840000001
65	Toronto	Scarborough	Dorset Park / Wexford Heights / Scarborough Town Centre	43.7574096	-79.27330400000001
66	Toronto	North York	York Mills West	43.752758299999996	-79.4000493
67	Toronto	Central Toronto	Davisville North	43.7127511	-79.3901975
68	Toronto	Central Toronto	Forest Hill North & West	43.6969476	-79.41130720000001
69	Toronto	West Toronto	High Park / The Junction South	43.6616083	-79.46476329999999
70	Toronto	Etobicoke	Westmount	43.696319	-79.53224240000002
71	Toronto	Scarborough	Wexford / Maryvale	43.750071500000004	-79.2958491
72	Toronto	North York	Willowdale	43.7827364	-79.4422593
73	Toronto	Central Toronto	North Toronto West	43.7153834	-79.40567840000001
74	Toronto	Central Toronto	The Annex / North Midtown / Yorkville	43.6727097	-79.40567840000001
75	Toronto	West Toronto	Parkdale / Roncesvalles	43.6489597	-79.456325
76	Toronto	Mississauga	Canada Post Gateway Processing Centre	43.6369656	-79.61581899999999
77	Toronto	Etobicoke	Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens	43.6889054	-79.55472440000001
78	Toronto	Scarborough	Agincourt	43.7942003	-79.26202940000002
79	Toronto	Central Toronto	Davisville	43.7043244	-79.3887901
80	Toronto	Downtown Toronto	University of Toronto / Harbord	43.6626956	-79.4000493
81	Toronto	West Toronto	Runnymede / Swansea	43.6515706	-79.4844499
82	Toronto	Scarborough	Clarks Corners / Tam O'Shanter / Sullivan	43.7816375	-79.3043021
83	Toronto	Central Toronto	Moore Park / Summerhill East	43.6895743	-79.38315990000001
84	Toronto	Downtown Toronto	Kensington Market / Chinatown / Grange Park	43.6532057	-79.4000493
85	Toronto	Scarborough	Milliken / Agincourt North / Steeles East / L'Amoreaux East	43.8152522	-79.2845772
86	Toronto	Central Toronto	Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park	43.68641229999999	-79.4000493
87	Toronto	Downtown Toronto	CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport	43.6289467	-79.3944199
88	Toronto	Etobicoke	New Toronto / Mimico South / Humber Bay Shores	43.6056466	-79.50132070000001
89	Toronto	Etobicoke	South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens	43.739416399999996	-79.5884369
90	Toronto	Scarborough	Steeles West / L'Amoreaux West	43.799525200000005	-79.3183887
91	Toronto	Downtown Toronto	Rosedale	43.6795626	-79.37752940000001
92	Toronto	Downtown Toronto	Stn A PO Boxes	43.6464352	-79.37484599999999
93	Toronto	Etobicoke	Alderwood / Long Branch	43.60241370000001	-79.54348409999999
94	Toronto	Etobicoke	Northwest	43.706748299999994	-79.5940544
95	Toronto	Scarborough	Upper Rouge	43.836124700000006	-79.20563609999999
96	Toronto	Downtown Toronto	St. James Town / Cabbagetown	43.667967	-79.3676753
97	Toronto	Downtown Toronto	First Canadian Place / Underground city	43.6484292	-79.3822802
98	Toronto	Etobicoke	The Kingsway / Montgomery Road  / Old Mill North	43.653653600000005	-79.5069436
99	Toronto	Downtown Toronto	Church and Wellesley	43.6658599	-79.38315990000001
100	Toronto	East Toronto	Business reply mail Processing CentrE	43.6627439	-79.321558
101	Toronto	Etobicoke	Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East	43.6362579	-79.49850909999999
102	Toronto	Etobicoke	Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West	43.6288408	-79.52099940000001
